	8
a	5
about	2
absolutely	1
after	1
afternoon	1
ah	3
ahm	1
all	4
although	1
an	1
and	3
any	1
are	1
at	2
awful	1
baldwin	1
became	1
become	1
becomes	1
believes	1
blaming	1
breach	2
brooke	1
but	1
camera	5
can	1
cannot	1
care	3
case	2
cdc	3
certain	1
clarified	1
closed	1
cnn	1
comments	1
conference	1
contacts	1
dallas	1
deadly	1
detectives	1
died	1
direct	1
director	1
do	2
down	2
downclosed	1
duncan	2
ebola	3
ebr	3
eric	1
err	1
feel	1
first	2
followed	1
for	1
found	1
frieden	1
from	1
front	1
gear	2
gesturing	1
great	1
had	1
hand	1
has	1
have	1
he	1
health	3
help	1
her	1
here	1
heres	1
him	1
his	1
hospital	2
how	2
however	1
i	1
im	1
improving	1
in	3
inconsistencies	1
infected	4
inside	1
is	4
it	3
just	1
kind	1
kinds	1
knowledge	1
known	1
less	1
let	1
liberian	1
lines	1
me	1
monday	1
morning	1
much	1
need	1
news	1
nod	3
not	1
now	1
number	2
nurse	2
nurses	2
of	10
officials	1
on	3
one	1
other	1
patient	3
patients	1
people	1
phraseology	1
pinpoint	1
possible	1
pr	2
presbyterian	1
proper	1
protective	1
protocol	1
protocols	1
put	1
re	1
reduce	1
removed	1
responsibility	1
right	3
risk	1
s	1
safety	1
say	1
saying	1
see	1
serveral	1
shake	1
share	1
she	7
shouldershrug	1
so	2
socalled	1
some	1
source	1
stro	2
survive	1
take	1
talked	1
tell	1
tells	1
texas	1
thank	1
that	10
the	15
there	2
these	1
this	7
thomas	1
those	1
times	1
to	7
together	1
tom	1
transmission	1
treated	1
treating	1
trying	1
ttr	1
us	2
virus	1
was	5
we	2
week	1
were	1
what	2
whatevers	1
who	2
with	4
wolf	1
wore	1
work	1
worker	2
works	1
yesterday	1
you	4
